"rid", "binaryID"
358,1110101110111111110110011101101011110111110011010100000010
365,1110101110111111110110011101101011110111110011010100000011
435,1110101110111111110110011101101011110111110011010100001100
449,1110101110111111110110011101101011110111110011010100001101
717,1110101110111111110110011101101011110111110011100110111000
724,1110101110111111110110011101101011110111110011100110111001
720,1110101110111111110110011101101011110111110011100110111100
734,1110101110111111110110011101101011110111110011100110111101
603,1110101110111111110110011101101011110111110011101111100110
604,1110101110111111110110011101101011110111110011101111100111
109,11101011101111111101100110000000110101011001111010000111100
113,11101011101111111101100110000000110101011001111010000111101
275,11101011101111111101100111011010111101111100110101000000000
276,11101011101111111101100111011010111101111100110101000000001
350,11101011101111111101100111011010111101111100110101000000100
370,11101011101111111101100111011010111101111100110101000000101
723,11101011101111111101100111011010111101111100111001101110000
744,11101011101111111101100111011010111101111100111001101110001
727,11101011101111111101100111011010111101111100111001101111000
751,11101011101111111101100111011010111101111100111001101111001
601,11101011101111111101100111011010111101111100111011111001100
602,11101011101111111101100111011010111101111100111011111001101
605,11101011101111111101100111011010111101111100111011111001110
696,11101011101111111101100111011010111101111100111011111001111
269,111010111011111111011001110110101111011111001101010000000010
293,111010111011111111011001110110101111011111001101010000000011
371,111010111011111111011001110110101111011111001101010000001010
383,111010111011111111011001110110101111011111001101010000001011
726,111010111011111111011001110110101111011111001110011011100000
743,111010111011111111011001110110101111011111001110011011100001
728,111010111011111111011001110110101111011111001110011011110000
761,111010111011111111011001110110101111011111001110011011110001
595,111010111011111111011001110110101111011111001110111110011100
596,111010111011111111011001110110101111011111001110111110011101
700,111010111011111111011001110110101111011111001110111110011110
707,111010111011111111011001110110101111011111001110111110011111
259,1110101110111111110110011101101011110111110011010100000000100
260,1110101110111111110110011101101011110111110011010100000000101
294,1110101110111111110110011101101011110111110011010100000000110
303,1110101110111111110110011101101011110111110011010100000000111
725,1110101110111111110110011101101011110111110011100110111000000
750,1110101110111111110110011101101011110111110011100110111000001
729,1110101110111111110110011101101011110111110011100110111100000
738,1110101110111111110110011101101011110111110011100110111100001
592,1110101110111111110110011101101011110111110011101111100111010
598,1110101110111111110110011101101011110111110011101111100111011
252,11101011101111111101100111011010111101111100110101000000001010
253,11101011101111111101100111011010111101111100110101000000001011
739,11101011101111111101100111011010111101111100111001101111000010
740,11101011101111111101100111011010111101111100111001101111000011
585,11101011101111111101100111011010111101111100111011111001110100
589,11101011101111111101100111011010111101111100111011111001110101
237,111010111011111111011001110110101111011111001101010000000010100
238,111010111011111111011001110110101111011111001101010000000010101
250,111010111011111111011001110110101111011111001101010000000010110
254,111010111011111111011001110110101111011111001101010000000010111
741,111010111011111111011001110110101111011111001110011011110000110
